region_id,cgfr_5,cgfr_10,cgfr_25,cgfr_50,cgfr_75,cgfr_100,cgfr_125,cgfr_150,cgfr_175,cgfr_200
CL,0.5958,0.5724,0.5645,0.5702,0.5809,0.5924,0.6033,0.6134,0.6224,0.6304
OM,0.2693,0.2681,0.2952,0.328,0.3463,0.3576,0.3655,0.3709,0.375,0.3781
BA,0.4531,0.4121,0.3796,0.3672,0.3663,0.3689,0.3731,0.3778,0.3827,0.3874
BH,0.2254,0.2139,0.2152,0.2292,0.2398,0.2473,0.2529,0.2569,0.2599,0.2622
CF,0.5042,0.5079,0.5267,0.5573,0.58,0.5979,0.6123,0.6242,0.6341,0.6427
CD,0.5594,0.5602,0.583,0.6231,0.6553,0.6813,0.7027,0.7205,0.7357,0.7487
IN,0.4097,0.3888,0.3747,0.3728,0.3743,0.3766,0.3793,0.382,0.3846,0.3871
KZ,0.4297,0.422,0.442,0.4848,0.5126,0.5315,0.5448,0.5544,0.5617,0.5672
JP,0.357,0.3709,0.4116,0.4543,0.4769,0.4905,0.4994,0.5055,0.5098,0.5131
KW,0.1257,0.1175,0.1142,0.1171,0.1198,0.1218,0.1232,0.1243,0.1251,0.1257
MT,0.5397,0.4884,0.4425,0.4217,0.4158,0.4146,0.4153,0.4171,0.4193,0.4219
XK,0.3487,0.321,0.2918,0.2692,0.2577,0.2516,0.2481,0.2462,0.2452,0.2447
BJ,0.6859,0.7017,0.753,0.8167,0.8576,0.8873,0.9109,0.9308,0.948,0.9633
FJ,0.6297,0.5896,0.5705,0.5752,0.5854,0.5965,0.6075,0.6183,0.6286,0.6384
PT,0.5849,0.5428,0.506,0.4964,0.5012,0.51,0.5197,0.5294,0.5387,0.5473
PL,0.5382,0.515,0.5038,0.5144,0.5281,0.5404,0.5516,0.5619,0.5714,0.5801
AM,0.5461,0.5032,0.4549,0.4222,0.4088,0.403,0.4006,0.3997,0.3997,0.4
CH,0.5503,0.5217,0.5057,0.5157,0.5311,0.5456,0.5583,0.569,0.5782,0.586
BI,0.607,0.6118,0.6367,0.6753,0.7041,0.7262,0.7439,0.7584,0.7707,0.7815
BW,0.6504,0.653,0.681,0.7228,0.7561,0.7836,0.8068,0.8268,0.8443,0.8597
VU,0.6073,0.6005,0.6188,0.6569,0.6867,0.71,0.7294,0.7459,0.7596,0.7718
GN,0.4649,0.4704,0.4929,0.5252,0.5497,0.5691,0.585,0.5983,0.6095,0.6192
AF,0.2005,0.2044,0.2178,0.2354,0.2463,0.2541,0.2602,0.2653,0.2695,0.2732
IS,0.6214,0.5464,0.4857,0.4676,0.4651,0.4665,0.4694,0.4732,0.4773,0.4814
KM,0.6253,0.621,0.6445,0.69,0.7198,0.7413,0.7576,0.7701,0.7802,0.7885
SZ,0.6933,0.6944,0.7301,0.7901,0.8389,0.8793,0.9137,0.9433,0.9691,0.9918
SG,0.4839,0.4542,0.4404,0.4448,0.4538,0.4627,0.4708,0.4778,0.4839,0.4892
IE,0.5226,0.4902,0.4659,0.4651,0.4724,0.4812,0.4902,0.4987,0.5066,0.5136
YE,0.0661,0.0653,0.0661,0.0682,0.0695,0.0704,0.0712,0.0718,0.0723,0.0728
KI,0.6495,0.6311,0.6338,0.6571,0.6783,0.6964,0.7122,0.7262,0.7388,0.7503
VN,0.5404,0.5169,0.5185,0.5427,0.5657,0.5858,0.6031,0.6183,0.6317,0.6437
SE,0.5537,0.5082,0.473,0.4656,0.4694,0.4759,0.4828,0.4895,0.4957,0.5013
SC,,,,,,,,,,
MX,0.7043,0.6842,0.681,0.6967,0.7147,0.7318,0.7474,0.7613,0.7738,0.785
SD,0.2954,0.2809,0.2686,0.265,0.2634,0.2622,0.2613,0.2605,0.2599,0.2594
CV,0.6291,0.6104,0.6064,0.6187,0.6345,0.6515,0.6684,0.6845,0.6998,0.7143
PK,0.1803,0.1786,0.1802,0.1862,0.191,0.1949,0.1981,0.2008,0.2031,0.2052
IL,0.454,0.4234,0.4013,0.3929,0.3922,0.3944,0.3978,0.4016,0.4057,0.4097
