region_id,cgfr_5,cgfr_10,cgfr_25,cgfr_50,cgfr_75,cgfr_100,cgfr_125,cgfr_150,cgfr_175,cgfr_200
VU,0.6073,0.6005,0.6188,0.6569,0.6867,0.71,0.7294,0.7459,0.7596,0.7718
KI,0.6495,0.6311,0.6338,0.6571,0.6783,0.6964,0.7122,0.7262,0.7388,0.7503
SC,,,,,,,,,,
AG,,,,,,,,,,
VC,0.7584,0.761,0.7928,0.849,0.8919,0.9255,0.9535,0.9767,0.9966,1.0146
KN,,,,,,,,,,
SB,0.577,0.5892,0.6382,0.7066,0.7569,0.7973,0.8306,0.8591,0.8834,0.9047
AD,0.6073,0.5549,0.5222,0.5405,0.5646,0.5849,0.6016,0.6146,0.6256,0.6342
MV,0.4691,0.4316,0.4083,0.4017,0.4027,0.4065,0.4114,0.4168,0.4222,0.4277
DM,,,,,,,,,,
FM,0.6247,0.6134,0.6233,0.6507,0.673,0.6906,0.705,0.7169,0.7273,0.736
LC,0.6786,0.6758,0.6967,0.7403,0.7771,0.8068,0.8314,0.8526,0.8715,0.8877
MC,,,,,,,,,,
BS,0.6006,0.606,0.6375,0.684,0.7211,0.7521,0.7789,0.8023,0.8229,0.8416
TO,0.629,0.5954,0.5786,0.5928,0.613,0.6328,0.651,0.668,0.6833,0.6976
WS,0.6967,0.6737,0.6781,0.7065,0.7335,0.7576,0.7788,0.797,0.8132,0.8275
COG.1_1,0.5419,0.5519,0.5858,0.6331,0.664,0.6857,0.7047,0.7188,0.7312,0.7416
SVN.3_1,0.4802,0.451,0.4357,0.4411,0.4535,0.4665,0.4794,0.4907,0.5014,0.5116
COD.6_1,0.5593,0.5649,0.5966,0.6469,0.6842,0.7134,0.737,0.756,0.7718,0.7852
EGY.12_1,0.3617,0.3195,0.2689,0.233,0.2141,0.2022,0.1939,0.1879,0.1833,0.1797
TZA.9_1,0.6956,0.6988,0.727,0.7749,0.809,0.836,0.858,0.8762,0.8918,0.9057
TCD.23_1,0.2891,0.3046,0.3348,0.3672,0.3868,0.3908,0.4081,0.4098,0.4184,0.4186
RUS.23_1,0.4724,0.4546,0.4766,0.5199,0.5369,0.5478,0.5558,0.5557,0.5608,0.5619
UGA.11_1,0.6493,0.6699,0.7407,0.8274,0.8887,0.935,0.9719,1.0049,1.0338,1.0617
MDA.26_1,0.5908,0.5347,0.4901,0.4761,0.478,0.4832,0.4895,0.4953,0.5006,0.5052
SLE.2_1,0.5531,0.5619,0.5976,0.6541,0.6971,0.7292,0.754,0.7739,0.7898,0.8029
JPN.1_1,0.357,0.3678,0.4058,0.4469,0.4684,0.4814,0.4899,0.4957,0.5,0.5031
JPN.9_1,0.3604,0.3698,0.4083,0.4504,0.4721,0.4848,0.4929,0.4985,0.5025,0.5055
